atleta_id,club_id,fecha_inicio,fecha_fin
1,1,2021-03-01,
2,1,2021-03-01,
3,1,2021-03-01,
4,1,2021-03-01,
5,1,2021-03-01,
6,1,2021-03-01,
7,1,2021-03-01,
8,1,2022-02-01,
9,1,2022-02-01,
10,1,2022-02-01,
11,1,2023-01-01,
12,1,2023-05-01,
13,1,2023-06-01,
14,1,2023-12-01,
15,1,2023-12-01,
16,1,2023-12-01,
17,1,2023-12-01,
18,1,2023-12-01,
19,1,2023-12-01,
20,1,2023-12-01,
21,1,2023-12-01,
22,1,2024-01-01,
23,1,2024-01-01,
24,1,2024-01-01,
25,1,2024-01-01,
26,1,2024-01-01,
27,1,2024-01-01,
28,1,2024-01-01,
29,1,2024-01-01,
30,1,2024-01-01,
31,1,2024-01-01,
32,1,2024-01-01,
33,1,2024-01-01,
34,1,2024-05-01,
35,2,2021-03-01,
36,2,2021-03-01,
37,2,2021-03-01,
38,2,2021-03-01,
39,2,2021-03-01,
40,2,2021-03-01,
41,2,2021-05-01,
42,2,2021-05-01,
43,2,2021-05-01,
44,2,2021-05-01,
45,2,2023-09-01,
46,3,2021-03-01,
47,3,2021-06-01,
48,3,2021-06-01,
49,3,2022-02-01,
50,3,2022-05-01,
51,3,2022-05-01,
52,3,2022-06-01,
53,3,2022-12-01,
54,3,2022-12-01,
55,3,2023-01-01,
56,3,2023-01-01,
57,3,2023-02-01,
58,3,2023-02-01,
59,3,2023-06-01,
60,3,2023-09-01,
61,3,2024-01-01,
62,3,2024-08-01,
63,3,2024-08-01,
64,4,2021-03-01,
65,4,2022-01-01,
66,4,2022-01-01,
67,4,2022-01-01,
68,4,2022-01-01,
69,4,2022-02-01,
70,4,2022-02-01,
71,4,2022-02-01,
72,4,2022-11-01,
73,4,2022-12-01,
74,4,2022-12-01,
75,4,2022-12-01,
76,4,2023-01-01,
77,4,2023-01-01,
78,4,2023-12-01,
79,4,2023-12-01,
80,4,2023-12-01,
81,4,2023-12-01,
82,4,2023-12-01,
83,4,2023-12-01,
84,4,2024-01-01,
85,4,2024-01-01,
86,4,2024-01-01,
87,4,2024-01-01,
88,4,2024-01-01,
89,4,2024-01-01,
90,4,2024-01-01,
91,4,2024-05-01,
92,5,2021-03-01,
93,5,2021-03-01,
94,5,2022-02-01,
95,5,2022-02-01,
96,5,2022-02-01,
97,5,2022-02-01,
98,5,2022-02-01,
99,5,2022-02-01,
100,5,2022-06-01,
101,5,2022-06-01,
102,5,2023-01-01,
103,5,2023-01-01,
104,5,2023-02-01,
105,5,2023-03-01,
106,5,2023-03-01,
107,5,2023-03-01,
108,5,2023-03-01,
109,5,2023-05-01,
110,5,2023-05-01,
111,5,2023-09-01,
112,5,2023-09-01,
113,5,2023-09-01,
114,5,2023-12-01,
115,5,2023-12-01,
116,5,2023-12-01,
117,5,2023-12-01,
118,5,2024-01-01,
119,5,2024-01-01,
120,5,2024-01-01,
121,5,2024-01-01,
122,5,2024-01-01,
123,5,2024-05-01,
124,6,2021-03-01,
125,6,2022-06-01,
126,6,2023-06-01,
127,7,2021-05-01,
128,7,2022-12-01,
129,8,2021-05-01,
130,8,2021-05-01,
131,8,2021-05-01,
132,8,2021-05-01,
133,8,2021-05-01,
134,8,2023-03-01,
135,8,2023-03-01,
136,8,2023-03-01,
137,8,2023-05-01,
138,8,2023-05-01,
139,8,2024-06-01,
140,9,2021-05-01,
141,9,2021-05-01,
142,9,2022-01-01,
143,9,2022-02-01,
144,9,2022-12-01,
145,9,2023-09-01,
146,9,2023-09-01,
147,9,2024-01-01,
148,10,2021-05-01,
149,10,2021-05-01,
150,10,2021-06-01,
151,10,2021-06-01,
152,10,2021-06-01,
153,10,2021-06-01,
154,10,2022-01-01,
155,10,2023-01-01,
156,10,2023-02-01,
157,10,2023-02-01,
158,10,2023-05-01,
159,10,2023-05-01,
